item_id,order_id,product_id,quantity,unit_price,item_total,discount_pct
ITEM00001,ORD00127,PROD183,4,1984.59,0.0,100.0
ITEM00002,ORD00902,PROD076,3,2533.44,5008.61,34.1
ITEM00003,ORD00493,PROD047,5,3847.5,15274.58,20.6
ITEM00004,ORD01271,PROD034,4,3273.94,7870.55,39.9
ITEM00005,ORD01056,PROD152,5,4537.99,21510.07,5.2
ITEM00006,ORD00897,PROD198,4,4648.88,17740.13,4.6
ITEM00007,ORD00161,PROD099,5,577.76,1961.5,32.1
ITEM00008,ORD01328,PROD195,7,2273.21,14989.55,5.8
ITEM00009,ORD01373,PROD105,9,3376.48,22153.09,27.1
ITEM00010,ORD00596,PROD085,6,2687.85,15594.91,3.3
ITEM00011,ORD01047,PROD027,2,320.28,600.2,6.3
ITEM00012,ORD00593,PROD078,3,4892.77,11272.94,23.2
ITEM00013,ORD01396,PROD066,4,3282.94,8089.16,38.4
ITEM00014,ORD00659,PROD176,8,2389.91,0.0,100.0
ITEM00015,ORD00555,PROD067,2,2184.24,4342.27,0.6
ITEM00016,ORD00631,PROD131,3,4635.2,12973.92,6.7
ITEM00017,ORD00408,PROD097,9,122.22,852.48,22.5
ITEM00018,ORD00061,PROD087,10,1044.48,6914.46,33.8
ITEM00019,ORD00009,PROD118,6,1999.87,9251.4,22.9
ITEM00020,ORD00951,PROD070,10,740.83,4956.15,33.1
ITEM00021,ORD01323,PROD051,4,3357.74,12101.29,9.9
ITEM00022,ORD00599,PROD007,6,3892.76,16886.79,27.7
ITEM00023,ORD00691,PROD104,3,4945.59,13353.09,10.0
ITEM00024,ORD01384,PROD040,6,2316.28,11507.28,17.2
ITEM00025,ORD00924,PROD006,2,1868.68,3737.36,0.0
ITEM00027,ORD00961,PROD136,6,4588.52,18115.48,34.2
ITEM00028,ORD00596,PROD017,1,3504.03,2603.49,25.7
ITEM00029,ORD00249,PROD080,2,4114.71,0.0,100.0
ITEM00030,ORD01328,PROD174,4,668.8,2562.84,4.2
ITEM00031,ORD00602,PROD174,5,3101.84,13353.42,13.9
ITEM00033,ORD00710,PROD163,1,2518.66,2135.82,15.2
ITEM00034,ORD00206,PROD077,4,1275.23,3284.99,35.6
ITEM00035,ORD01027,PROD145,10,442.76,3391.54,23.4
ITEM00036,ORD00431,PROD158,5,1025.03,4792.02,6.5
ITEM00037,ORD00199,PROD161,7,1229.89,6741.03,21.7
ITEM00038,ORD00823,PROD032,2,4537.4,7777.1,14.3
ITEM00039,ORD00501,PROD151,1,3708.31,3500.64,5.6
ITEM00040,ORD00411,PROD130,7,653.6,3811.14,16.7
ITEM00041,ORD00359,PROD180,5,381.99,1875.57,1.8
ITEM00042,ORD00752,PROD113,2,1290.93,1980.29,23.3
ITEM00043,ORD00455,PROD037,3,2120.41,3899.43,38.7
ITEM00044,ORD00497,PROD013,3,724.95,1931.27,11.2
ITEM00045,ORD01446,PROD045,9,4490.42,27804.68,31.2
ITEM00046,ORD00888,PROD152,1,120.78,72.83,39.7
ITEM00048,ORD00082,PROD021,6,2128.55,8071.46,36.8
ITEM00049,ORD00681,PROD017,5,596.79,2688.54,9.9
ITEM00050,ORD00936,PROD054,1,1518.67,1309.09,13.8
ITEM00051,ORD00724,PROD003,2,4465.12,6563.73,26.5
ITEM00052,ORD00949,PROD195,8,3281.89,26255.12,0.0
ITEM00053,ORD01409,PROD002,8,3771.59,22901.09,24.1
ITEM00054,ORD01036,PROD133,7,1955.09,12152.84,11.2
ITEM00056,ORD00828,PROD061,3,2951.27,8375.7,5.4
ITEM00057,ORD00115,PROD166,2,2480.51,3601.7,27.4
ITEM00058,ORD00929,PROD056,8,2669.64,13497.7,36.8
ITEM00059,ORD00120,PROD150,8,1834.93,11802.27,19.6
ITEM00060,ORD00383,PROD031,2,3450.35,4202.53,39.1
ITEM00061,ORD00690,PROD075,10,892.33,5853.68,34.4
ITEM00062,ORD00048,PROD022,9,2187.38,13918.3,29.3
ITEM00063,ORD00935,PROD149,8,741.48,4122.63,30.5
ITEM00064,ORD01473,PROD181,1,1266.48,952.39,24.8
ITEM00065,ORD00782,PROD141,4,490.36,1365.16,30.4
ITEM00068,ORD00092,PROD020,6,2639.2,11686.38,26.2
ITEM00069,ORD00792,PROD180,3,2869.09,6997.71,18.7
ITEM00070,ORD01179,PROD163,10,2314.42,15622.34,32.5
ITEM00071,ORD01313,PROD113,4,1621.04,4655.63,28.2
ITEM00072,ORD01380,PROD152,4,3268.33,11857.5,9.3
ITEM00073,ORD00732,PROD106,6,1778.03,8950.6,16.1
ITEM00074,ORD00040,PROD064,4,3302.4,11360.26,14.0
ITEM00075,ORD01056,PROD050,10,1809.24,13569.3,25.0
ITEM00076,ORD00740,PROD006,2,2346.68,4313.2,8.1
ITEM00077,ORD01458,PROD161,7,4524.59,0.0,100.0
ITEM00078,ORD00304,PROD087,2,3885.82,7499.63,3.5
ITEM00079,ORD00874,PROD001,7,4674.64,20124.33,38.5
ITEM00080,ORD00168,PROD117,3,2979.96,6633.39,25.8
ITEM00081,ORD00097,PROD193,5,730.07,3288.97,9.9
ITEM00082,ORD00862,PROD072,10,2314.99,14051.99,39.3
ITEM00083,ORD01051,PROD147,1,497.76,364.86,26.7
ITEM00084,ORD01263,PROD087,8,4075.29,31852.47,2.3
ITEM00085,ORD00840,PROD014,10,1598.4,13794.19,13.7
ITEM00086,ORD00763,PROD073,1,979.97,626.2,36.1
ITEM00087,ORD00709,PROD073,3,664.79,1320.27,33.8
ITEM00088,ORD00429,PROD062,1,3187.86,2218.75,30.4
ITEM00089,ORD00279,PROD044,5,4086.77,17675.28,13.5
ITEM00090,ORD00790,PROD113,1,514.56,368.42,28.4
ITEM00091,ORD00522,PROD025,4,3028.05,11397.58,5.9
ITEM00092,ORD01017,PROD152,5,983.62,4278.75,13.0
ITEM00093,ORD00556,PROD043,9,502.15,4306.94,4.7
ITEM00094,ORD00220,PROD147,6,1601.18,8089.16,15.8
ITEM00095,ORD01329,PROD143,2,3379.18,5933.84,12.2
ITEM00096,ORD01453,PROD167,9,1522.75,12485.03,8.9
ITEM00097,ORD00532,PROD002,6,121.69,598.71,18.0
ITEM00098,ORD00132,PROD037,4,4711.22,11382.31,39.6
ITEM00099,ORD00370,PROD181,10,3060.1,22032.72,28.0
ITEM00101,ORD00558,PROD072,8,526.15,4028.2,4.3
ITEM00102,ORD00029,PROD167,4,4696.58,16926.47,9.9
ITEM00103,ORD01382,PROD068,4,2473.12,8814.2,10.9
ITEM00104,ORD00533,PROD196,8,680.01,5091.91,6.4
ITEM00105,ORD00401,PROD029,5,2809.21,12557.17,10.6
ITEM00106,ORD01165,PROD105,7,2061.12,9681.08,32.9
ITEM00107,ORD00893,PROD023,4,4003.25,11753.54,26.6
ITEM00108,ORD01066,PROD173,3,2340.22,5174.23,26.3
ITEM00109,ORD00581,PROD097,1,4672.0,3588.1,23.2
ITEM00110,ORD01055,PROD152,4,3201.11,9398.46,26.6
ITEM00111,ORD00431,PROD055,9,4863.54,42633.79,2.6
ITEM00112,ORD00652,PROD176,5,4071.16,19439.79,4.5
ITEM00113,ORD01195,PROD105,10,395.86,3582.53,9.5
ITEM00114,ORD00795,PROD046,4,2277.12,5820.32,36.1
ITEM00115,ORD00103,PROD070,8,1765.86,10496.27,25.7
ITEM00116,ORD00015,PROD015,8,3356.39,22904.01,14.7
ITEM00117,ORD00011,PROD134,2,2136.04,3357.85,21.4
ITEM00118,ORD00138,PROD190,7,4289.06,29693.16,1.1
ITEM00119,ORD01131,PROD135,1,3599.85,2710.69,24.7
ITEM00120,ORD01352,PROD197,4,1991.87,7816.1,1.9
ITEM00121,ORD01406,PROD085,10,4051.4,39987.32,1.3
ITEM00122,ORD00319,PROD030,1,3176.13,3176.13,0.0
ITEM00123,ORD00016,PROD168,8,2019.97,12200.62,24.5
ITEM00124,ORD01052,PROD167,1,4243.53,3335.41,21.4
ITEM00125,ORD01000,PROD110,9,1632.06,9195.03,37.4
ITEM00126,ORD00217,PROD060,4,2725.01,10071.64,7.6
ITEM00127,ORD00794,PROD034,1,4502.59,3439.98,23.6
ITEM00128,ORD01295,PROD062,6,2596.67,13149.54,15.6
ITEM00129,ORD00444,PROD130,8,4429.31,35186.44,0.7
ITEM00130,ORD01088,PROD027,8,870.21,5012.41,28.0
ITEM00131,ORD01130,PROD051,4,1482.01,4866.92,17.9
ITEM00132,ORD00250,PROD126,5,4109.22,20546.1,0.0
ITEM00133,ORD01214,PROD004,7,4285.57,23189.22,22.7
ITEM00134,ORD00442,PROD189,6,1518.6,7544.4,17.2
ITEM00135,ORD01456,PROD082,6,2500.65,15003.9,0.0
ITEM00136,ORD01387,PROD124,9,1863.93,13772.58,17.9
ITEM00137,ORD01192,PROD183,10,3389.37,32470.16,4.2
ITEM00139,ORD01313,PROD076,4,3541.43,0.0,100.0
ITEM00140,ORD00298,PROD020,7,3696.98,17287.08,33.2
ITEM00141,ORD00977,PROD010,10,840.79,0.0,100.0
ITEM00142,ORD00167,PROD063,5,1725.63,6125.99,29.0
ITEM00143,ORD01160,PROD122,4,2293.14,8172.75,10.9
ITEM00144,ORD00195,PROD106,5,396.93,1419.02,28.5
ITEM00145,ORD01037,PROD041,3,3113.2,8639.13,7.5
ITEM00146,ORD01214,PROD045,8,818.52,4275.95,34.7
ITEM00147,ORD01180,PROD107,4,1840.43,6228.02,15.4
ITEM00148,ORD00452,PROD187,4,3050.25,10956.5,10.2
ITEM00149,ORD01145,PROD086,5,2860.44,12900.58,9.8
ITEM00150,ORD00217,PROD154,7,3400.51,14710.61,38.2
ITEM00151,ORD01251,PROD069,1,4609.68,4337.71,5.9
ITEM00152,ORD01095,PROD032,5,3770.05,14948.25,20.7
ITEM00153,ORD00979,PROD184,8,2553.61,19407.44,5.0
ITEM00154,ORD01237,PROD084,7,3057.45,13504.76,36.9
ITEM00155,ORD00264,PROD033,1,3416.04,2654.26,22.3
ITEM00156,ORD00198,PROD093,9,835.91,4513.91,40.0
ITEM00157,ORD00847,PROD137,9,1668.55,13590.34,9.5
ITEM00158,ORD00681,PROD054,3,2875.78,6565.41,23.9
ITEM00159,ORD00006,PROD135,3,1093.04,3279.12,0.0
ITEM00160,ORD00200,PROD090,3,2464.82,7394.46,0.0
ITEM00161,ORD01075,PROD022,7,4612.97,30740.83,4.8
ITEM00162,ORD00152,PROD111,1,3651.9,3465.65,5.1
ITEM00163,ORD00954,PROD060,4,1303.91,4855.76,6.9
ITEM00164,ORD00742,PROD081,7,571.51,3152.45,21.2
ITEM00165,ORD00936,PROD127,7,480.32,2491.42,25.9
ITEM00166,ORD00863,PROD133,3,2535.66,5712.84,24.9
ITEM00167,ORD00017,PROD019,9,4780.86,30334.56,29.5
ITEM00168,ORD00211,PROD031,5,3040.15,14607.92,3.9
ITEM00169,ORD01048,PROD106,10,1833.12,17634.61,3.8
ITEM00170,ORD00066,PROD073,7,4010.01,28070.07,0.0
ITEM00171,ORD01065,PROD199,9,4876.33,38444.99,12.4
ITEM00173,ORD01460,PROD183,8,2133.1,11621.13,31.9
ITEM00174,ORD00901,PROD112,4,2495.1,0.0,100.0
ITEM00176,ORD00655,PROD129,1,430.06,370.71,13.8
ITEM00177,ORD00257,PROD071,1,79.22,66.15,16.5
ITEM00178,ORD00259,PROD123,4,412.32,1528.88,7.3
ITEM00180,ORD00269,PROD049,3,2450.92,5007.23,31.9
ITEM00182,ORD01223,PROD176,1,4492.95,4335.7,3.5
ITEM00183,ORD00178,PROD159,8,3196.24,22961.79,10.2
ITEM00184,ORD00684,PROD016,1,3510.82,2647.16,24.6
ITEM00185,ORD00264,PROD026,2,4758.53,9260.1,2.7
ITEM00186,ORD01406,PROD199,4,4113.1,11829.28,28.1
ITEM00187,ORD01062,PROD016,4,1323.03,5292.12,0.0
ITEM00188,ORD01259,PROD046,8,612.98,4246.73,13.4
ITEM00189,ORD00461,PROD155,5,2205.05,9702.22,12.0
ITEM00190,ORD00345,PROD167,9,2288.37,17114.72,16.9
ITEM00191,ORD01046,PROD026,1,4226.64,2667.01,36.9
ITEM00192,ORD00220,PROD087,9,97.87,842.07,4.4
ITEM00193,ORD00827,PROD134,10,3225.49,25126.57,22.1
ITEM00194,ORD00894,PROD198,1,173.79,141.99,18.3
ITEM00195,ORD00691,PROD173,5,3504.58,11827.96,32.5
