order_id,customer_id,order_date,ship_date,order_status,payment_method,sales_channel,order_amount,discount_amount,shipping_fee,city,state,net_amount,order_month,order_year
ORD00001,CUST0030,2022-01-01,2022-01-04,Shipped,Credit Card,Mobile App,46753.88,17427.65,149,Hyderabad,RJ,29475.23,2022-01,2022
ORD00002,CUST0983,2022-01-01,2022-01-04,Returned,Debit Card,In-Store,13875.49,425.08,199,Hyderabad,MH,13649.41,2022-01,2022
ORD00003,CUST0547,2022-01-02,2022-01-06,Shipped,Upi,In-Store,20497.61,4474.85,199,Ahmedabad,KA,16221.76,2022-01,2022
ORD00004,CUST0228,2022-03-01,2022-01-04,Cancelled,Upi,Mobile App,31214.91,5909.67,0,Jaipur,TN,25305.24,2022-03,2022
ORD00005,CUST0051,2022-01-03,2022-01-06,Pending,Net Banking,In-Store,31991.69,4627.35,0,Delhi,DL,27364.34,2022-01,2022
ORD00006,CUST0788,2022-01-04,2022-01-06,Returned,Cod,Online,40333.19,4893.35,199,Toronto,MH,35638.84,2022-01,2022
ORD00007,CUST0410,2022-05-01,2022-01-06,Delivered,Upi,Online,7364.16,693.1,99,Toronto,WB,6770.06,2022-05,2022
ORD00008,CUST0619,2022-06-01,2022-01-07,Cancelled,Debit Card,Online,15431.2,2587.97,149,Kolkata,NSW,12992.23,2022-06,2022
ORD00009,CUST0455,2022-06-01,2022-01-09,Cancelled,Debit Card,In-Store,7625.71,1025.74,149,Toronto,RJ,6748.97,2022-06,2022
ORD00010,CUST0976,2022-07-01,2022-01-11,Delivered,Upi,Online,37585.38,2459.99,99,Ahmedabad,ON,35224.39,2022-07,2022
ORD00011,CUST0906,2022-01-08,2022-01-12,Returned,Credit Card,Mobile App,48497.84,12801.97,99,Kolkata,KA,35794.87,2022-01,2022
ORD00012,CUST0533,2022-01-09,2022-01-12,Delivered,Upi,Online,4488.28,222.12,199,Kolkata,TN,4465.16,2022-01,2022
ORD00013,CUST0779,2022-09-01,2022-01-11,Returned,Wallet,Mobile App,27566.52,5857.29,149,Chennai,TS,21858.23,2022-09,2022
ORD00014,CUST0613,2022-10-01,2022-01-15,Returned,Debit Card,In-Store,21508.82,2638.9,99,London,KA,18968.92,2022-10,2022
ORD00015,CUST0599,2022-11-01,2022-11-04,Shipped,Net Banking,Online,25072.1,8664.92,49,Hyderabad,RJ,16456.18,2022-11,2022
ORD00017,CUST0584,2022-01-12,2022-01-16,Shipped,Debit Card,Mobile App,43321.95,316.88,0,Toronto,LDN,43005.07,2022-01,2022
ORD00018,CUST0381,2022-01-13,2022-01-14,Shipped,Net Banking,Mobile App,9169.07,590.48,99,Bangalore,MH,8677.59,2022-01,2022
ORD00019,CUST0106,2022-01-14,2022-01-17,Shipped,Credit Card,In-Store,14020.4,0.0,49,London,LDN,14069.4,2022-01,2022
ORD00020,CUST0657,2022-01-14,2022-01-21,Shipped,Debit Card,Mobile App,20132.28,2504.1,199,Mumbai,KA,17827.18,2022-01,2022
ORD00021,CUST0262,2022-01-15,2022-01-20,Returned,Cod,In-Store,12061.9,686.46,199,Jaipur,KA,11574.44,2022-01,2022
ORD00022,CUST0355,2022-01-16,2022-01-22,Returned,Wallet,Online,10211.52,255.21,49,Chennai,LDN,10005.31,2022-01,2022
ORD00023,CUST0291,2022-01-17,2022-01-22,Pending,Cod,In-Store,41420.79,10320.37,0,Hyderabad,LDN,31100.42,2022-01,2022
ORD00024,CUST0623,2022-01-17,2022-01-22,Delivered,Cod,Mobile App,1718.44,9.08,99,Jaipur,TS,1808.36,2022-01,2022
ORD00025,CUST0562,2022-01-18,2022-01-24,Delivered,Credit Card,Online,5927.14,253.53,149,London,WB,5822.61,2022-01,2022
ORD00026,CUST0210,2022-01-19,2022-01-25,Cancelled,Upi,In-Store,23385.08,6100.99,149,Delhi,KA,17433.09,2022-01,2022
ORD00027,CUST0422,2022-01-19,2022-01-22,Returned,Wallet,Mobile App,44242.84,13408.6,49,Bangalore,WB,30883.24,2022-01,2022
