product_id,product_name,category,sub_category,brand,price,cost_price,stock_qty,rating,profit_margin
PROD001,Lg Laptop 149,Home & Kitchen,Smartwatch,Sony,2228.7,1023.47,0,3.4,54.08
PROD002,Apple History 640,Sports,History,Adidas,9294.74,4822.51,36,3.8,48.12
PROD003,Samsung Camera 763,Electronics,Mobile,Nike,4057.06,2309.36,0,1.1,43.08
PROD004,Sony Cookware 400,Clothing,Furniture,Puma,7003.66,3969.6,0,4.9,43.32
PROD005,Prestige Decor 174,Electronics,Bedding,Prestige,8931.26,4574.82,146,2.1,48.78
PROD006,Apple Appliances 429,Home & Kitchen,Lighting,Apple,5143.58,2974.92,0,2.4,42.16
PROD007,Samsung Jacket 517,Clothing,Jacket,Apple,343.41,241.62,115,2.5,29.64
PROD008,Samsung Furniture 983,Sports,Bedding,Harpercollins,4057.06,1363.56,0,4.7,66.39
PROD009,Prestige Decor 300,Clothing,Bedding,Apple,71.34,61.14,0,1.1,14.3
PROD010,Apple Camera 553,Electronics,Smartwatch,Samsung,6368.98,3821.3879999999995,429,4.6,40.0
PROD011,Prestige History 742,Sports,Science,Harpercollins,9245.96,4349.3,300,1.1,52.96
PROD012,Nike Fiction 847,Books,Self-Help,Lg,7822.56,3856.06,0,4.7,50.71
PROD013,Lg Mobile 752,Clothing,Smartwatch,Apple,5046.21,2693.75,99,2.4,46.62
PROD014,Sony Science 117,Electronics,Science,Reebok,7617.73,4631.86,0,1.9,39.2
PROD015,Nike Jacket 551,Electronics,Jacket,Apple,3693.09,3297.71,80,1.2,10.71
PROD016,Reebok Decor 388,Home & Kitchen,Furniture,Lg,2242.58,1265.7,0,1.2,43.56
PROD017,Puma Furniture 159,Clothing,Lighting,Apple,4903.47,3668.53,258,4.9,25.19
PROD018,Philips Lighting 243,Home & Kitchen,Furniture,Apple,1444.53,851.21,37,4.4,41.07
PROD019,Philips Cycling 881,Books,Swimming,Nike,5772.28,3837.21,0,3.0,33.52
PROD020,Apple Jacket 787,Electronics,T-Shirt,Adidas,3877.37,3213.16,0,4.4,17.13
PROD021,Nike Decor 240,Sports,Bedding,Apple,11416.98,4688.66,214,4.8,58.93
PROD022,Lg Cookware 668,Home & Kitchen,Furniture,Philips,5623.06,3804.32,0,2.3,32.34
PROD023,Samsung T-Shirt 863,Clothing,Shoes,Harpercollins,3098.5,1720.77,478,1.6,44.46
PROD024,Apple History 842,Books,Fiction,Nike,4573.34,2578.36,0,3.5,43.62
PROD025,Prestige Jacket 493,Home & Kitchen,Shoes,Nike,2228.48,1813.48,0,3.0,18.62
PROD026,Nike Cricket 264,Clothing,Running,Apple,4057.06,2749.26,150,2.1,32.24
PROD027,Harpercollins Saree 716,Home & Kitchen,Saree,Apple,4855.75,3976.88,0,1.5,18.1
PROD028,Apple Science 123,Clothing,History,Samsung,1890.94,843.68,0,4.6,55.38
PROD029,Puma Shoes 790,Books,Jacket,Samsung,4057.06,4627.33,0,3.0,-14.06
PROD030,Penguin Yoga 168,Electronics,Running,Nike,4884.98,2190.39,322,3.6,55.16
PROD031,Adidas Non-Fiction 307,Electronics,Self-Help,Prestige,1731.67,879.24,0,4.6,49.23
PROD032,Reebok Football 191,Electronics,Football,Harpercollins,8637.78,3501.91,0,1.3,59.46
PROD033,Nike Furniture 421,Sports,Appliances,Nike,10246.67,4672.29,0,3.7,54.4
PROD034,Lg Smartwatch 275,Sports,Laptop,Samsung,2658.94,1644.96,0,2.5,38.13
PROD035,Adidas Tablet 510,Books,Headphones,Nike,4057.06,981.0,0,1.7,75.82
PROD036,Apple Headphones 657,Clothing,Laptop,Philips,5484.43,3261.15,0,2.9,40.54
PROD037,Nike Laptop 575,Sports,Camera,Harpercollins,5263.7,4316.93,355,4.3,17.99
PROD038,Samsung Mobile 969,Clothing,Mobile,Philips,3573.27,2828.99,0,2.7,20.83
PROD039,Nike Jeans 794,Electronics,Saree,Lg,10540.84,4980.87,0,3.2,52.75
PROD040,Apple Cricket 717,Electronics,Cycling,Prestige,478.33,210.78,399,4.2,55.93
