return_id,order_id,product_id,return_date,return_reason,return_status,refund_amount
RET0001,ORD01285,PROD077,2022-03-01,Changed Mind,Pending,7927.78
RET0002,ORD01197,PROD080,2022-03-04,Not As Described,Replacement Sent,5621.42
RET0003,ORD01227,PROD174,2022-03-04,Changed Mind,Pending,857.75
RET0004,ORD00814,PROD115,2022-03-04,Not As Described,Pending,624.54
RET0005,ORD00945,PROD121,2022-03-14,Damaged,Pending,8695.71
RET0006,ORD00459,PROD042,2022-03-18,Changed Mind,Pending,4888.73
RET0007,ORD00181,PROD149,2022-03-18,Damaged,Refunded,8811.42
RET0008,ORD00408,PROD025,2022-03-18,Wrong Item,Replacement Sent,6785.14
RET0009,ORD01361,PROD031,2022-03-28,Not As Described,Refunded,9850.33
RET0010,ORD00220,PROD139,2022-04-01,Wrong Item,Replacement Sent,2911.85
RET0011,ORD00311,PROD129,2022-04-04,Late Delivery,Refunded,1078.22
RET0012,ORD00241,PROD073,2022-04-08,Late Delivery,Replacement Sent,8077.88
RET0013,ORD00416,PROD080,2022-04-11,Late Delivery,Replacement Sent,2892.28
RET0014,ORD00153,PROD012,2022-04-15,Late Delivery,Refunded,8287.9
RET0015,ORD01480,PROD188,2022-04-18,Not As Described,Refunded,254.41
RET0016,ORD00379,PROD198,2022-04-21,Late Delivery,Replacement Sent,5419.22
RET0017,ORD00636,PROD030,2022-04-21,Damaged,Refunded,7290.78
RET0018,ORD00406,PROD066,2022-04-28,Damaged,Pending,5419.22
RET0019,ORD00523,PROD115,2022-05-02,Damaged,Replacement Sent,6093.38
RET0020,ORD01451,PROD200,2022-05-05,Late Delivery,Pending,288.18
RET0021,ORD01365,PROD179,2022-05-09,Not As Described,Replacement Sent,4715.34
RET0022,ORD00781,PROD001,2022-05-09,Damaged,Refunded,6962.93
RET0023,ORD00778,PROD143,2022-05-16,Wrong Item,Replacement Sent,5952.88
RET0024,ORD01428,PROD046,2022-05-19,Late Delivery,Refunded,6194.15
RET0025,ORD00796,PROD051,2022-05-23,Late Delivery,Refunded,7956.59
RET0026,ORD00263,PROD023,2022-05-26,Damaged,Refunded,7410.67
RET0027,ORD01239,PROD176,2022-05-30,Not As Described,Replacement Sent,2338.98
RET0028,ORD00228,PROD152,2022-06-02,Wrong Item,Refunded,5419.22
RET0029,ORD00413,PROD097,2022-06-06,Not As Described,Refunded,9239.88
RET0030,ORD01423,PROD029,2022-06-09,Damaged,Refunded,7436.88
RET0031,ORD00773,PROD121,2022-06-12,Changed Mind,Replacement Sent,9092.03
RET0032,ORD00366,PROD167,2022-06-16,Late Delivery,Pending,9312.67
RET0033,ORD00161,PROD037,2022-06-19,Wrong Item,Replacement Sent,8491.13
RET0034,ORD00686,PROD091,2022-06-23,Wrong Item,Replacement Sent,8824.29
RET0035,ORD00465,PROD132,2022-06-26,Wrong Item,Refunded,586.33
RET0036,ORD01214,PROD140,2022-06-30,Damaged,Replacement Sent,9003.93
RET0037,ORD00566,PROD035,2022-07-03,Damaged,Pending,8139.51
RET0038,ORD00529,PROD175,2022-07-07,Damaged,Pending,3365.59
RET0039,ORD00030,PROD170,2022-07-10,Not As Described,Replacement Sent,5419.22
RET0040,ORD00787,PROD133,2022-07-10,Late Delivery,Replacement Sent,9936.68
RET0041,ORD00005,PROD067,2022-07-10,Damaged,Pending,1544.94
RET0042,ORD00158,PROD177,2022-07-10,Not As Described,Pending,4734.26
RET0043,ORD00597,PROD068,2022-07-24,Not As Described,Pending,697.52
RET0044,ORD00859,PROD188,2022-07-24,Changed Mind,Refunded,3437.96
RET0045,ORD01491,PROD044,2022-07-31,Not As Described,Replacement Sent,9342.43
RET0046,ORD00232,PROD114,2022-08-03,Damaged,Pending,5419.22
RET0047,ORD01425,PROD031,2022-08-07,Wrong Item,Replacement Sent,7872.97
RET0048,ORD00269,PROD164,2022-08-10,Damaged,Refunded,985.48
RET0049,ORD00020,PROD130,2022-08-14,Changed Mind,Replacement Sent,6446.15
RET0050,ORD00703,PROD008,2022-08-17,Wrong Item,Pending,6816.24
RET0051,ORD01472,PROD068,2022-08-21,Wrong Item,Pending,4952.72
RET0052,ORD01133,PROD093,2022-08-24,Changed Mind,Pending,4950.28
RET0053,ORD00564,PROD084,2022-08-28,Damaged,Refunded,9884.12
RET0054,ORD01221,PROD157,2022-08-31,Changed Mind,Replacement Sent,3271.79
RET0055,ORD01143,PROD024,2022-09-04,Changed Mind,Refunded,6186.64
RET0056,ORD00577,PROD045,2022-09-07,Late Delivery,Refunded,4172.1
RET0057,ORD00528,PROD139,2022-09-11,Damaged,Pending,6622.64
RET0058,ORD00926,PROD156,2022-09-14,Changed Mind,Refunded,3868.37
RET0059,ORD00763,PROD145,2022-09-17,Wrong Item,Refunded,340.44
RET0060,ORD00451,PROD096,2022-09-21,Wrong Item,Replacement Sent,9878.6
RET0061,ORD01268,PROD030,2022-09-24,Wrong Item,Replacement Sent,7631.52
RET0062,ORD00410,PROD042,2022-09-28,Late Delivery,Pending,1925.07
RET0063,ORD00872,PROD028,2022-09-28,Damaged,Refunded,2044.1
RET0064,ORD00127,PROD163,2022-09-28,Wrong Item,Pending,6743.07
RET0065,ORD00058,PROD173,2022-10-08,Damaged,Pending,3506.48
RET0066,ORD00983,PROD123,2022-10-12,Not As Described,Pending,2276.68
RET0067,ORD00607,PROD079,2022-10-12,Not As Described,Refunded,6379.11
RET0068,ORD01057,PROD193,2022-10-19,Changed Mind,Refunded,5419.22
RET0069,ORD00224,PROD164,2022-10-22,Late Delivery,Pending,5515.43
RET0070,ORD00414,PROD079,2022-10-26,Damaged,Pending,750.67
RET0071,ORD01404,PROD114,2022-10-29,Damaged,Replacement Sent,7350.14
RET0072,ORD00387,PROD096,2022-11-02,Changed Mind,Refunded,9425.11
RET0073,ORD00757,PROD109,2022-11-05,Late Delivery,Replacement Sent,5239.8
