item_id,order_id,product_id,quantity,unit_price,item_total,discount_pct
ITEM00001,ORD00127,PROD183,4.0,1984.59,7938.36,150.0
ITEM00002,ORD00902,PROD076,3.0,2533.44,7600.32,34.1
ITEM00003,ORD00493,PROD047,5.0,3847.5,19237.5,20.6
ITEM00004,ORD01271,PROD034,4.0,3273.94,13095.76,39.9
ITEM00005,ORD01056,PROD152,5.0,4537.99,22689.95,5.2
ITEM00006,ORD00897,PROD198,4.0,4648.88,18595.52,4.6
ITEM00007,ORD00161,PROD099,5.0,577.76,2888.8,32.1
ITEM00008,ORD01328,PROD195,7.0,2273.21,15912.47,5.8
ITEM00009,ORD01373,PROD105,9.0,3376.48,30388.32,27.1
ITEM00010,ORD00596,PROD085,6.0,2687.85,16127.1,3.3
ITEM00011,ORD01047,PROD027,2.0,320.28,640.56,6.3
ITEM00012,ORD00593,PROD078,3.0,4892.77,14678.31,23.2
ITEM00013,ORD01396,PROD066,4.0,3282.94,13131.76,38.4
ITEM00014,ORD00659,PROD176,8.0,2389.91,19119.28,150.0
ITEM00015,ORD00555,PROD067,2.0,2184.24,4368.48,0.6
ITEM00016,ORD00631,PROD131,3.0,4635.2,13905.6,6.7
ITEM00017,ORD00408,PROD097,9.0,122.22,1099.98,22.5
ITEM00018,ORD00061,PROD087,10.0,1044.48,10444.8,33.8
ITEM00019,ORD00009,PROD118,6.0,1999.87,11999.22,22.9
ITEM00020,ORD00951,PROD070,10.0,740.83,7408.3,33.1
ITEM00021,ORD01323,PROD051,4.0,3357.74,13430.96,9.9
ITEM00022,ORD00599,PROD007,6.0,3892.76,23356.56,27.7
ITEM00023,ORD00691,PROD104,3.0,4945.59,,10.0
ITEM00024,ORD01384,PROD040,6.0,2316.28,13897.68,17.2
ITEM00025,ORD00924,PROD006,2.0,1868.68,3737.36,
ITEM00026,ORD01001,PROD098,,1934.25,13539.75,12.0
ITEM00027,ORD00961,PROD136,6.0,4588.52,27531.12,34.2
ITEM00028,ORD00596,PROD017,1.0,3504.03,3504.03,25.7
ITEM00029,ORD00249,PROD080,2.0,4114.71,8229.42,150.0
ITEM00030,ORD01328,PROD174,4.0,668.8,2675.2,4.2
ITEM00031,ORD00602,PROD174,5.0,3101.84,15509.2,13.9
ITEM00032,ORD00861,PROD143,-1.0,4091.02,32728.16,21.7
ITEM00033,ORD00710,PROD163,1.0,2518.66,2518.66,15.2
ITEM00034,ORD00206,PROD077,4.0,1275.23,5100.92,35.6
ITEM00035,ORD01027,PROD145,10.0,442.76,4427.6,23.4
ITEM00036,ORD00431,PROD158,5.0,1025.03,5125.15,6.5
