order_id,customer_id,order_date,ship_date,order_status,payment_method,sales_channel,order_amount,discount_amount,shipping_fee,city,state
ORD00001,CUST0030,2022-01-01,,SHIPPED,credit card,mobile app,46753.88,17427.65,149,Hyderabad,RJ
ORD00002,CUST0983,01/01/2022,2022-01-04,returned,Debit Card,IN-STORE,13875.49,425.08,199,Hyderabad,MH
ORD00003,CUST0547,2022-01-02,2022-01-06,SHIPPED,UPI,IN-STORE,20497.61,4474.85,199,Ahmedabad,KA
ORD00004,CUST0228,01-03-2022,2022-01-04,CANCELLED,UPI ,Mobile App,31214.91,5909.67,0,Jaipur,TN
ORD00005,CUST0051,03/01/2022,2022-01-06,pending,Net Banking,IN-STORE,31991.69,4627.35,0,Delhi,DL
ORD00006,CUST0788,04/01/2022,2022-01-06,Returned,COD,online,40333.19,4893.35,199,Toronto,MH
ORD00007,CUST0410,01-05-2022,2022-01-06,Delivered,UPI,Online,7364.16,693.1,99,Toronto,WB
ORD00008,CUST0619,01-06-2022,2022-01-07,Cancelled,Debit Card,online,15431.2,2587.97,149,Kolkata,NSW
ORD00009,CUST0455,01-06-2022,2022-01-09,Cancelled,Debit Card,In-Store,7625.71,1025.74,149,Toronto,RJ
ORD00010,CUST0976,01-07-2022,2022-01-11,Delivered,UPI,Online,37585.38,2459.99,99,Ahmedabad,ON
ORD00011,CUST0906,2022-01-08,2022-01-12,Returned,Credit Card,Mobile App,48497.84,12801.97,99,Kolkata,KA
ORD00012,CUST0533,09/01/2022,,delivered,UPI,Online,4488.28,222.12,199,Kolkata,TN
ORD00013,CUST0779,01-09-2022,2022-01-11,Returned,WALLET,Mobile App,27566.52,5857.29,149,Chennai,TS
ORD00014,CUST0613,01-10-2022,2022-01-15,Returned,Debit Card,In-Store,21508.82,2638.9,99,London,KA
ORD00015,CUST0599,01-11-2022,,Shipped,Net Banking,Online,25072.1,8664.92,49,Hyderabad,RJ
ORD00016,CUST0644,01-11-2022,,Delivered,  COD,mobile app,,4466.41,199,Sydney,TS
ORD00017,CUST0584,12/01/2022,2022-01-16,SHIPPED,Debit Card,Mobile App,43321.95,316.88,0,Toronto,LDN
ORD00018,CUST0381,2022-01-13,2022-01-14,Shipped,Net Banking,mobile app,9169.07,590.48,99,Bangalore,MH
ORD00019,CUST0106,14/01/2022,2022-01-17,SHIPPED,Credit Card,In-Store,14020.4,28040.8,49,London,LDN
ORD00020,CUST0657,2022-01-14,2022-01-21,SHIPPED,Debit Card,Mobile App,20132.28,2504.1,199,Mumbai,KA
ORD00021,CUST0262,15/01/2022,2022-01-20,Returned,COD,In-Store,12061.9,686.46,199,Jaipur,KA
ORD00022,CUST0355,16/01/2022,2022-01-22,returned,WALLET,Online,10211.52,255.21,49,Chennai,LDN
ORD00023,CUST0291,17/01/2022,2022-01-22,pending,COD,In-Store,41420.79,10320.37,0,Hyderabad,LDN
ORD00024,CUST0623,01-17-2022,2022-01-22,Delivered,  COD,mobile app,1718.44,9.08,99,Jaipur,TS
ORD00025,CUST0562,2022-01-18,2022-01-24,Delivered,Credit Card,Online,5927.14,253.53,149,London,WB
ORD00026,CUST0210,19/01/2022,2022-01-25,CANCELLED,UPI,IN-STORE,23385.08,6100.99,149,Delhi,KA
ORD00027,CUST0422,19/01/2022,2022-01-22,Returned,WALLET,Mobile App,44242.84,13408.6,49,Bangalore,WB
ORD00028,CUST0473,20/01/2022,2022-01-25,Returned,  COD,Mobile App,34218.77,8442.99,0,Hyderabad,GJ
ORD00027,CUST0914,2022-01-21,2022-01-24,delivered,WALLET,online,29133.54,3320.0,149,Bangalore,NSW
ORD00030,CUST0082,22/01/2022,2022-01-25,CANCELLED,Credit Card,Online,18296.46,68.98,0,London,DL
ORD00031,CUST0267,2022-01-22,2022-01-23,Delivered,  COD,Mobile App,17102.23,,49,Toronto,NY
ORD00032,CUST0397,2022-01-23,2022-01-29,Shipped,  COD,IN-STORE,27949.77,,149,Kolkata,TN
ORD00033,CUST0493,2022-01-24,2022-01-25,delivered,  COD,IN-STORE,38991.54,9338.38,0,Kolkata,ON
ORD00034,CUST0270,25/01/2022,2022-01-28,Shipped,Debit Card,In-Store,47280.12,2000.58,0,Hyderabad,KA
ORD00035,CUST0578,25/01/2022,,pending,WALLET,Mobile App,38981.94,7328.32,49,Ahmedabad,MH
ORD00036,CUST0037,2022-01-26,2022-01-27,SHIPPED,credit card,mobile app,29826.52,9045.41,149,Hyderabad,KA
ORD00037,CUST0967,27/01/2022,2022-02-02,Returned,credit card,In-Store,6118.66,484.51,99,Bangalore,MH
ORD00038,CUST0446,2022-01-28,2022-02-04,Pending,COD,In-Store,43927.5,-100.0,0,London,TN
ORD00039,CUST0389,01-28-2022,2022-02-04,returned,Wallet,In-Store,27396.79,7383.29,199,Sydney,NSW
ORD00040,CUST0540,29/01/2022,2022-02-01,SHIPPED,UPI,In-Store,43369.87,8682.67,0,Kolkata,ON
ORD00041,CUST0528,01-30-2022,2022-02-05,Pending,Net Banking,mobile app,43419.52,3372.04,49,Hyderabad,TS
ORD00042,CUST0741,01-30-2022,2022-02-04,CANCELLED,Debit Card,mobile app,9392.52,3645.34,0,Hyderabad,KA
ORD00043,CUST0428,31/01/2022,,Delivered,WALLET,mobile app,49666.38,11968.9,149,Sydney,TN
ORD00044,CUST0461,01/02/2022,,returned,Debit Card,Online,13053.12,3479.34,0,Mumbai,RJ
ORD00045,CUST0382,02-02-2022,2022-02-08,Pending,WALLET,Online,34163.69,905.93,199,Hyderabad,WB
ORD00046,CUST0071,02/02/2022,2022-02-09,Returned,WALLET,IN-STORE,42500.25,15544.73,99,Ahmedabad,GJ
ORD00047,CUST0890,02-03-2022,2022-02-08,Shipped,Credit Card,Online,47171.76,1687.67,0,New York,ON
ORD00048,CUST0575,2022-02-04,2022-02-07,Shipped,  COD,In-Store,44742.99,14737.47,149,Jaipur,MH
ORD00049,CUST0346,05/02/2022,2022-02-11,delivered,UPI,IN-STORE,581.34,45.95,0,Chennai,NSW
ORD00050,CUST0782,02-05-2022,2022-02-12,Delivered,Debit Card,Mobile App,32474.01,9961.0,49,Toronto,GJ
ORD00051,CUST0504,06/02/2022,2022-02-10,delivered,Net Banking,Mobile App,37428.07,1684.36,199,New York,GJ
ORD00052,CUST0915,2022-02-07,2022-02-10,Delivered,Net Banking,mobile app,14499.06,-100.0,199,Toronto,WB
ORD00053,CUST0104,07/02/2022,,returned,Wallet,In-Store,45652.45,13487.38,199,Bangalore,MH
ORD00054,CUST0087,08/02/2022,2022-02-11,SHIPPED,credit card,mobile app,871.97,299.31,0,Toronto,TS
ORD00055,CUST0436,09/02/2022,2022-02-13,returned,  COD,Online,3656.29,696.55,99,Ahmedabad,ON
ORD00056,CUST0312,10/02/2022,2022-02-15,returned,Net Banking,Mobile App,49459.17,13814.66,149,Surat,KA
ORD00051,CUST0363,02-10-2022,2022-02-14,SHIPPED,Debit Card,mobile app,33420.56,12508.89,99,Sydney,GJ
ORD00058,CUST0442,11/02/2022,2022-02-18,Shipped,UPI ,mobile app,4764.27,620.98,0,Kolkata,LDN
ORD00059,CUST0047,2022-02-12,2022-02-14,Cancelled,UPI,Online,24983.58,2594.06,49,Kolkata,TN
ORD00060,CUST0360,02-13-2022,2022-02-14,Shipped,Net Banking,Mobile App,29301.87,4975.3,0,Chennai,NY
ORD00022,CUST0685,2022-02-13,2022-02-20,delivered,credit card,Online,16914.31,5036.81,0,Ahmedabad,NY
ORD00062,CUST0623,14/02/2022,2022-02-21,Pending,credit card,IN-STORE,45301.06,16446.23,99,Surat,NY
ORD00063,CUST0815,15/02/2022,2022-02-22,delivered,UPI ,online,29654.54,9075.2,149,Toronto,NY
