product_id,product_name,category,sub_category,brand,price,cost_price,stock_qty,rating
PROD001,LG Laptop 149,Home & Kitchen,Smartwatch,Sony,2228.7,1023.47,-10.0,3.4
PROD002,Apple History 640,Sports,History,Adidas,9294.74,4822.51,36.0,3.8
PROD003,Samsung Camera 763,Electronics,Mobile,NIKE,,2309.36,-10.0,1.1
PROD004,Sony Cookware 400,Clothing,Furniture,Puma,7003.66,3969.6,-10.0,4.9
PROD005,Prestige Decor 174,electronics,Bedding,Prestige,8931.26,4574.82,146.0,2.1
PROD006,apple Appliances 429,Home & Kitchen,Lighting,Apple,5143.58,2974.92,,2.4
PROD007,Samsung Jacket 517,CLOTHING,Jacket,apple,343.41,241.62,115.0,2.5
PROD008,SAMSUNG Furniture 983,Sports,Bedding,HarperCollins,0.0,1363.56,-10.0,4.7
PROD009,Prestige Decor 300,Clothing,Bedding,apple,71.34,61.14,,1.1
PROD010,apple Camera 553,electronics,Smartwatch,SAMSUNG,6368.98,,429.0,4.6
PROD011,Prestige History 742,Sports,Science,HarperCollins,9245.96,4349.3,300.0,1.1
PROD012,Nike Fiction 847,books,Self-Help,LG,7822.56,3856.06,,4.7
PROD013,LG Mobile 752,Clothing,Smartwatch,Apple,5046.21,2693.75,99.0,2.4
PROD014,Sony Science 117,electronics,Science,Reebok,7617.73,4631.86,-10.0,1.9
PROD015,NIKE Jacket 551,electronics,Jacket,Apple,3693.09,3297.71,80.0,1.2
PROD016,Reebok Decor 388,Home & Kitchen,Furniture,LG,2242.58,1265.7,-10.0,1.2
PROD017,Puma Furniture 159,Clothing,Lighting,apple,4903.47,3668.53,258.0,4.9
PROD018,Philips Lighting 243,Home & Kitchen,Furniture,apple,1444.53,851.21,37.0,4.4
PROD019,Philips Cycling 881,Books,Swimming,Nike,5772.28,3837.21,,
PROD020,apple Jacket 787,electronics,T-Shirt,Adidas,3877.37,3213.16,,4.4
PROD021,Nike Decor 240,sports,Bedding,apple,11416.98,4688.66,214.0,4.8
PROD022,LG Cookware 668,Home & Kitchen,Furniture,Philips,5623.06,3804.32,,2.3
PROD023,SAMSUNG T-Shirt 863,CLOTHING,Shoes,HarperCollins,3098.5,1720.77,478.0,1.6
PROD024,apple History 842,books,Fiction,NIKE,4573.34,2578.36,-10.0,3.5
PROD025,Prestige Jacket 493,HOME & KITCHEN,Shoes,NIKE,2228.48,1813.48,-10.0,-1.0
PROD026,NIKE Cricket 264,Clothing,Running,apple,,2749.26,150.0,2.1
PROD027,HarperCollins Saree 716,Home & Kitchen,Saree,Apple,4855.75,3976.88,-10.0,1.5
PROD028,Apple Science 123,CLOTHING,History,Samsung,1890.94,843.68,-10.0,4.6
PROD029,Puma Shoes 790,books,Jacket,SAMSUNG,0.0,4627.33,,3.0
PROD030,Penguin Yoga 168,electronics,Running,Nike,4884.98,2190.39,322.0,3.6
PROD031,Adidas Non-Fiction 307,Electronics,Self-Help,Prestige,1731.67,879.24,,4.6
PROD032,Reebok Football 191,Electronics,Football,HarperCollins,8637.78,3501.91,,1.3
PROD033,NIKE Furniture 421,sports,Appliances,Nike,10246.67,4672.29,,3.7
PROD034,LG Smartwatch 275,Sports,Laptop,SAMSUNG,2658.94,1644.96,,2.5
PROD035,Adidas Tablet 510,Books,Headphones,NIKE,,981.0,-10.0,1.7
PROD036,Apple Headphones 657,Clothing,Laptop,Philips,5484.43,3261.15,-10.0,2.9
PROD037,NIKE Laptop 575,Sports,Camera,HarperCollins,5263.7,4316.93,355.0,4.3
PROD038,Samsung Mobile 969,Clothing,Mobile,Philips,3573.27,2828.99,-10.0,2.7
PROD039,NIKE Jeans 794,Electronics,Saree,LG,10540.84,4980.87,,3.2
PROD040,Apple Cricket 717,electronics,Cycling,Prestige,478.33,210.78,399.0,4.2
PROD041,Nike Cookware 488,Books,Cookware,Samsung,6224.19,4119.71,480.0,1.2
PROD042,Apple Furniture 868,books,Appliances,Apple,3762.8,1536.02,483.0,-1.0
PROD043,Puma Mobile 944,CLOTHING,Headphones,Sony,2535.1,1928.93,447.0,3.2
