return_id,order_id,product_id,return_date,return_reason,return_status,refund_amount
RET0001,ORD01285,PROD077,2022-03-01,changed mind,PENDING,7927.78
RET0002,ORD01197,PROD080,04/03/2022,Not as Described,Replacement Sent,5621.42
RET0003,ORD01227,PROD174,,changed mind,Pending,857.75
RET0004,ORD00814,PROD115,,not as described,Pending,624.54
RET0005,ORD00945,PROD121,14/03/2022,Damaged,PENDING,8695.71
RET0006,ORD00459,PROD042,18/03/2022,Changed Mind,PENDING,4888.73
RET0007,ORD00181,PROD149,,damaged,Refunded,8811.42
RET0008,ORD00408,PROD025,,Wrong Item,replacement sent,6785.14
RET0009,ORD01361,PROD031,28/03/2022,not as described,Refunded,9850.33
RET0010,ORD00220,PROD139,01/04/2022,Wrong Item,replacement sent,2911.85
RET0011,ORD00311,PROD129,04/04/2022,  Late Delivery  ,refunded,1078.22
RET0012,ORD00241,PROD073,2022-04-08,  Late Delivery  ,Replacement Sent,8077.88
RET0013,ORD00416,PROD080,11/04/2022,Late Delivery,Replacement Sent,2892.28
RET0014,ORD00153,PROD012,2022-04-15,  Late Delivery  ,refunded,8287.9
RET0015,ORD01480,PROD188,18/04/2022,not as described,refunded,254.41
RET0016,ORD00379,PROD198,21/04/2022,Late Delivery,replacement sent,-500.0
RET0017,ORD00636,PROD030,,damaged,Refunded,7290.78
RET0018,ORD00406,PROD066,2022-04-28,Damaged,PENDING,0.0
RET0019,ORD00523,PROD115,2022-05-02,Damaged,replacement sent,6093.38
RET0020,ORD01451,PROD200,05/05/2022,  Late Delivery  ,PENDING,288.18
RET0021,ORD01365,PROD179,09/05/2022,not as described,replacement sent,4715.34
RET0022,ORD00781,PROD001,,Damaged,Refunded,6962.93
RET0023,ORD00778,PROD143,2022-05-16,WRONG ITEM,Replacement Sent,5952.88
RET0024,ORD01428,PROD046,2022-05-19,Late Delivery,refunded,6194.15
RET0025,ORD00796,PROD051,23/05/2022,Late Delivery,refunded,7956.59
RET0026,ORD00263,PROD023,2022-05-26,Damaged,refunded,7410.67
RET0027,ORD01239,PROD176,30/05/2022,not as described,Replacement Sent,2338.98
RET0028,ORD00228,PROD152,2022-06-02,Wrong Item,Refunded,0.0
RET0029,ORD00413,PROD097,06/06/2022,Not as Described,Refunded,9239.88
RET0030,ORD01423,PROD029,09/06/2022,damaged,Refunded,7436.88
RET0031,ORD00773,PROD121,12/06/2022,Changed Mind,Replacement Sent,9092.03
RET0032,ORD00366,PROD167,16/06/2022,Late Delivery,Pending,9312.67
