order_id,store_id,datetime,customer_id,item_id,quantity,total_amount,payment_mode,customer_type
ORD00001,104,2026-05-25 13:04:18,CUST-0302,18,2,690,Cash,mobile-app
ORD00002,104,2026-05-25 12:32:25,CUST-0164,34,1,265,Cash,walk-in
ORD00003,103,2026-05-25 20:44:37,CUST-0260,16,2,730,Cash,walk-in
ORD00004,105,2026-05-25 14:32:26,CUST-0076,10,2,370,UPI,mobile-app
ORD00005,103,2026-05-25 21:49:26,CUST-0284,26,1,195,UPI,mobile-app
ORD00006,105,2026-05-25 16:35:20,CUST-0034,26,1,195,UPI,mobile-app
ORD00007,104,2026-05-25 12:20:25,CUST-0135,16,2,730,UPI,walk-in
ORD00008,102,2026-05-25 11:59:58,CUST-0077,12,2,350,UPI,mobile-app
ORD00009,101,2026-05-25 20:30:18,CUST-0071,29,1,215,Cash,mobile-app
ORD00010,102,2026-05-25 18:41:17,CUST-0158,1,2,490,Cash,mobile-app
ORD00011,103,2026-05-25 19:43:05,CUST-0145,21,1,195,UPI,walk-in
ORD00012,104,2026-05-25 15:19:25,CUST-0287,29,3,645,Cash,mobile-app
ORD00013,104,2026-05-25 18:59:22,CUST-0160,17,1,375,UPI,walk-in
ORD00014,101,2026-05-25 07:13:53,CUST-0333,3,1,215,UPI,walk-in
ORD00015,103,2026-05-25 07:26:41,CUST-0161,15,1,345,Cash,mobile-app
ORD00016,102,2026-05-25 18:34:36,CUST-0127,6,2,350,UPI,mobile-app
ORD00017,105,2026-05-25 09:29:33,CUST-0150,6,1,175,UPI,mobile-app
ORD00018,101,2026-05-25 18:27:12,CUST-0322,13,4,940,UPI,mobile-app
ORD00019,104,2026-05-25 08:48:57,CUST-0168,1,3,735,Cash,walk-in
ORD00020,103,2026-05-25 11:08:42,CUST-0090,14,1,245,UPI,mobile-app
ORD00021,105,2026-05-25 07:17:28,CUST-0030,27,1,345,UPI,mobile-app
ORD00022,103,2026-05-25 10:23:38,CUST-0294,26,1,195,Cash,mobile-app
ORD00023,102,2026-05-25 16:44:16,CUST-0092,27,2,690,Cash,walk-in
ORD00024,103,2026-05-25 20:34:54,CUST-0005,27,2,690,Cash,walk-in
ORD00025,102,2026-05-25 10:54:29,CUST-0142,29,2,430,Cash,walk-in
ORD00026,102,2026-05-25 08:49:57,CUST-0342,5,1,225,UPI,mobile-app
